DATE,DEXSZUS
2000-10-02,1.7322
2000-10-03,1.7365
2000-10-04,1.7395
2000-10-05,1.7491
2000-10-06,1.7515
2000-10-09,.
2000-10-10,1.7515
2000-10-11,1.7328
2000-10-12,1.7415
2000-10-13,1.7595
2000-10-16,1.7790
2000-10-17,1.7773
2000-10-18,1.7875
2000-10-19,1.7875
2000-10-20,1.7885
2000-10-23,1.7985
2000-10-24,1.8005
2000-10-25,1.8165
2000-10-26,1.8250
2000-10-27,1.8065
2000-10-30,1.8068
2000-10-31,1.7978
2000-11-01,1.7765
2000-11-02,1.7799
2000-11-03,1.7667
2000-11-06,1.7725
2000-11-07,1.7728
2000-11-08,1.7775
2000-11-09,1.7739
2000-11-10,1.7657
2000-11-13,1.7637
2000-11-14,1.7723
2000-11-15,1.7815
2000-11-16,1.7883
2000-11-17,1.7915
2000-11-20,1.8000
2000-11-21,1.7995
2000-11-22,1.8050
2000-11-23,.
2000-11-24,1.8085
2000-11-27,1.7803
2000-11-28,1.7633
2000-11-29,1.7595
2000-11-30,1.7365
2000-12-01,1.7285
2000-12-04,1.7060
2000-12-05,1.7153
2000-12-06,1.7078
2000-12-07,1.7015
2000-12-08,1.7063
2000-12-11,1.7150
2000-12-12,1.7144
2000-12-13,1.7175
2000-12-14,1.6990
2000-12-15,1.6795
2000-12-18,1.6845
2000-12-19,1.6940
2000-12-20,1.6765
2000-12-21,1.6722
2000-12-22,1.6485
2000-12-25,.
2000-12-26,1.6342
2000-12-27,1.6435
2000-12-28,1.6450
2000-12-29,1.6202
2001-01-01,.
2001-01-02,1.6075
2001-01-03,1.6025
2001-01-04,1.6115
2001-01-05,1.6025
2001-01-08,1.6076
2001-01-09,1.6210
2001-01-10,1.6255
2001-01-11,1.6123
2001-01-12,1.6232
2001-01-15,.
2001-01-16,1.6390
2001-01-17,1.6520
2001-01-18,1.6195
2001-01-19,1.6334
2001-01-22,1.6370
2001-01-23,1.6330
2001-01-24,1.6547
2001-01-25,1.6558
2001-01-26,1.6582
2001-01-29,1.6560
2001-01-30,1.6455
2001-01-31,1.6425
2001-02-01,1.6330
2001-02-02,1.6425
2001-02-05,1.6355
2001-02-06,1.6538
2001-02-07,1.6475
2001-02-08,1.6707
2001-02-09,1.6560
2001-02-12,1.6557
2001-02-13,1.6683
2001-02-14,1.6690
2001-02-15,1.6920
2001-02-16,1.6763
2001-02-19,.
2001-02-20,1.6870
2001-02-21,1.6897
2001-02-22,1.6903
2001-02-23,1.6885
2001-02-26,1.6895
2001-02-27,1.6837
2001-02-28,1.6736
2001-03-01,1.6557
2001-03-02,1.6465
2001-03-05,1.6538
2001-03-06,1.6523
2001-03-07,1.6582
2001-03-08,1.6593
2001-03-09,1.6545
2001-03-12,1.6555
2001-03-13,1.6838
2001-03-14,1.6840
2001-03-15,1.7002
2001-03-16,1.7160
2001-03-19,1.7068
2001-03-20,1.6957
2001-03-21,1.7085
2001-03-22,1.7233
2001-03-23,1.7155
2001-03-26,1.7155
2001-03-27,1.7198
2001-03-28,1.7245
2001-03-29,1.7323
2001-03-30,1.7360
2001-04-02,1.7317
2001-04-03,1.7120
2001-04-04,1.6951
2001-04-05,1.7020
2001-04-06,1.7000
2001-04-09,1.6955
2001-04-10,1.7165
2001-04-11,1.7161
2001-04-12,1.7062
2001-04-13,1.7127
2001-04-16,1.7180
2001-04-17,1.7310
2001-04-18,1.7375
2001-04-19,1.7170
2001-04-20,1.6926
2001-04-23,1.7087
2001-04-24,1.7115
2001-04-25,1.7075
2001-04-26,1.7060
2001-04-27,1.7232
2001-04-30,1.7345
2001-05-01,1.7255
2001-05-02,1.7307
2001-05-03,1.7355
2001-05-04,1.7304
2001-05-07,1.7305
2001-05-08,1.7420
2001-05-09,1.7429
2001-05-10,1.7485
2001-05-11,1.7522
2001-05-14,1.7516
2001-05-15,1.7432
2001-05-16,1.7329
2001-05-17,1.7393
2001-05-18,1.7486
2001-05-21,1.7485
2001-05-22,1.7666
2001-05-23,1.7755
2001-05-24,1.7793
2001-05-25,1.7790
2001-05-28,.
2001-05-29,1.7840
2001-05-30,1.7775
2001-05-31,1.7970
2001-06-01,1.7992
2001-06-04,1.7968
2001-06-05,1.7805
2001-06-06,1.7988
2001-06-07,1.7923
2001-06-08,1.7927
2001-06-11,1.8046
2001-06-12,1.7960
2001-06-13,1.7902
2001-06-14,1.7753
2001-06-15,1.7726
2001-06-18,1.7770
2001-06-19,1.7861
2001-06-20,1.7924
2001-06-21,1.7797
2001-06-22,1.7730
2001-06-25,1.7655
2001-06-26,1.7655
2001-06-27,1.7648
2001-06-28,1.7983
2001-06-29,1.7968
2001-07-02,1.8003
2001-07-03,1.7970
2001-07-04,.
2001-07-05,1.8185
2001-07-06,1.7945
2001-07-09,1.7964
2001-07-10,1.7795
2001-07-11,1.7608
2001-07-12,1.7725
2001-07-13,1.7738
2001-07-16,1.7690
2001-07-17,1.7708
2001-07-18,1.7310
2001-07-19,1.7327
2001-07-20,1.7255
2001-07-23,1.7353
2001-07-24,1.7214
2001-07-25,1.7145
2001-07-26,1.7236
2001-07-27,1.7250
2001-07-30,1.7267
2001-07-31,1.7285
2001-08-01,1.7158
2001-08-02,1.7123
2001-08-03,1.7054
2001-08-06,1.7135
2001-08-07,1.7165
2001-08-08,1.7127
2001-08-09,1.6948
2001-08-10,1.6918
2001-08-13,1.6885
2001-08-14,1.6808
2001-08-15,1.6668
2001-08-16,1.6608
2001-08-17,1.6583
2001-08-20,1.6635
2001-08-21,1.6648
2001-08-22,1.6552
2001-08-23,1.6580
2001-08-24,1.6660
2001-08-27,1.6697
2001-08-28,1.6660
2001-08-29,1.6690
2001-08-30,1.6575
2001-08-31,1.6698
2001-09-03,.
2001-09-04,1.7075
2001-09-05,1.6996
2001-09-06,1.6908
2001-09-07,1.6771
2001-09-10,1.6870
2001-09-11,.
2001-09-12,1.6593
2001-09-13,1.6526
2001-09-14,1.6246
2001-09-17,1.6143
2001-09-18,1.6037
2001-09-19,1.5858
2001-09-20,1.5920
2001-09-21,1.5878
2001-09-24,1.6041
2001-09-25,1.5914
2001-09-26,1.5990
2001-09-27,1.6138
2001-09-28,1.6188
2001-10-01,1.6196
2001-10-02,1.6227
2001-10-03,1.6157
2001-10-04,1.6248
2001-10-05,1.6204
2001-10-08,.
2001-10-09,1.6193
2001-10-10,1.6278
2001-10-11,1.6475
2001-10-12,1.6325
2001-10-15,1.6288
2001-10-16,1.6298
2001-10-17,1.6355
2001-10-18,1.6387
2001-10-19,1.6427
2001-10-22,1.6619
2001-10-23,1.6642
2001-10-24,1.6592
2001-10-25,1.6490
2001-10-26,1.6535
2001-10-29,1.6320
2001-10-30,1.6245
2001-10-31,1.6347
2001-11-01,1.6295
2001-11-02,1.6315
2001-11-05,1.6423
2001-11-06,1.6400
2001-11-07,1.6328
2001-11-08,1.6455
2001-11-09,1.6400
2001-11-12,.
2001-11-13,1.6668
2001-11-14,1.6641
2001-11-15,1.6644
2001-11-16,1.6552
2001-11-19,1.6635
2001-11-20,1.6491
2001-11-21,1.6575
2001-11-22,.
2001-11-23,1.6680
