DATE,GOLDAMGBD228NLBM
2000-01-04,282.050
2000-01-05,282.100
2000-01-06,280.350
2000-01-07,282.000
2000-01-10,281.700
2000-01-11,281.700
2000-01-12,282.250
2000-01-13,282.200
2000-01-14,284.150
2000-01-17,284.900
2000-01-18,286.850
2000-01-19,288.750
2000-01-20,288.350
2000-01-21,287.700
2000-01-24,287.450
2000-01-25,288.700
2000-01-26,284.900
2000-01-27,286.500
2000-01-28,286.150
2000-01-31,283.050
2000-02-01,283.650
2000-02-02,283.100
2000-02-03,285.250
2000-02-04,287.500
2000-02-07,316.600
2000-02-08,303.150
2000-02-09,306.000
2000-02-10,311.250
2000-02-11,316.500
2000-02-14,308.750
2000-02-15,307.000
2000-02-16,300.500
2000-02-17,306.250
2000-02-18,302.250
2000-02-21,305.750
2000-02-22,305.400
2000-02-23,305.250
2000-02-24,299.900
2000-02-25,297.150
2000-02-28,292.750
2000-02-29,294.000
2000-03-01,293.750
2000-03-02,289.000
2000-03-03,289.300
2000-03-06,289.250
2000-03-07,288.350
2000-03-08,292.750
2000-03-09,289.000
2000-03-10,292.100
2000-03-13,289.650
2000-03-14,290.300
2000-03-15,288.700
2000-03-16,288.400
2000-03-17,285.500
2000-03-20,284.850
2000-03-21,286.150
2000-03-22,289.400
2000-03-23,286.500
2000-03-24,284.900
2000-03-27,284.350
2000-03-28,280.300
2000-03-29,279.100
2000-03-30,276.700
2000-03-31,275.900
2000-04-03,278.800
2000-04-04,276.750
2000-04-05,283.100
2000-04-06,278.850
2000-04-07,279.950
2000-04-10,281.500
2000-04-11,281.200
2000-04-12,280.250
2000-04-13,281.400
2000-04-14,280.650
2000-04-17,283.500
2000-04-18,281.800
2000-04-19,281.400
2000-04-20,280.500
2000-04-21,.
2000-04-24,.
2000-04-25,280.000
2000-04-26,277.700
2000-04-27,276.100
2000-04-28,275.850
2000-05-01,.
2000-05-02,275.000
2000-05-03,277.600
2000-05-04,277.300
2000-05-05,280.500
2000-05-08,277.250
2000-05-09,276.900
2000-05-10,277.800
2000-05-11,277.000
2000-05-12,276.200
2000-05-15,275.650
2000-05-16,275.700
2000-05-17,274.850
2000-05-18,272.500
2000-05-19,273.750
2000-05-22,274.000
2000-05-23,275.150
2000-05-24,273.900
2000-05-25,273.000
2000-05-26,270.450
2000-05-29,.
2000-05-30,274.400
2000-05-31,272.250
2000-06-01,272.800
2000-06-02,272.950
2000-06-05,281.700
2000-06-06,284.800
2000-06-07,286.950
2000-06-08,285.100
2000-06-09,285.150
2000-06-12,284.100
2000-06-13,293.000
2000-06-14,286.050
2000-06-15,289.150
2000-06-16,290.300
2000-06-19,288.100
2000-06-20,286.400
2000-06-21,286.600
2000-06-22,286.100
2000-06-23,285.300
2000-06-26,283.000
2000-06-27,284.200
2000-06-28,286.350
2000-06-29,290.850
2000-06-30,289.150
2000-07-03,288.050
2000-07-04,287.800
2000-07-05,287.700
2000-07-06,285.400
2000-07-07,284.150
2000-07-10,284.250
2000-07-11,283.600
2000-07-12,282.850
2000-07-13,280.650
2000-07-14,280.650
2000-07-17,282.400
2000-07-18,282.650
2000-07-19,281.800
2000-07-20,277.900
2000-07-21,280.350
2000-07-24,280.050
2000-07-25,278.750
2000-07-26,280.150
2000-07-27,280.200
2000-07-28,278.450
2000-07-31,277.400
2000-08-01,277.300
2000-08-02,277.150
2000-08-03,276.650
2000-08-04,273.300
2000-08-07,273.500
2000-08-08,274.000
2000-08-09,272.300
2000-08-10,272.450
2000-08-11,273.150
2000-08-14,275.450
2000-08-15,274.700
2000-08-16,275.500
2000-08-17,277.150
2000-08-18,277.150
2000-08-21,276.400
2000-08-22,274.000
2000-08-23,272.450
2000-08-24,272.000
2000-08-25,273.350
2000-08-28,.
2000-08-29,274.000
2000-08-30,272.600
2000-08-31,274.950
2000-09-01,276.600
2000-09-04,277.000
2000-09-05,276.200
2000-09-06,275.300
2000-09-07,272.950
2000-09-08,274.100
2000-09-11,272.600
2000-09-12,272.800
2000-09-13,272.800
2000-09-14,272.800
2000-09-15,272.850
2000-09-18,272.450
2000-09-19,272.000
2000-09-20,271.100
2000-09-21,269.650
2000-09-22,272.350
2000-09-25,273.550
2000-09-26,274.050
2000-09-27,274.750
2000-09-28,277.200
2000-09-29,274.100
2000-10-02,274.300
2000-10-03,272.400
2000-10-04,271.300
2000-10-05,271.350
2000-10-06,270.800
2000-10-09,270.250
2000-10-10,269.750
2000-10-11,273.000
2000-10-12,270.800
2000-10-13,275.850
2000-10-16,272.050
2000-10-17,270.550
2000-10-18,271.300
2000-10-19,270.500
2000-10-20,271.500
2000-10-23,271.250
2000-10-24,270.400
2000-10-25,269.300
2000-10-26,266.750
2000-10-27,266.050
2000-10-30,265.650
2000-10-31,263.800
2000-11-01,266.000
2000-11-02,265.750
2000-11-03,266.450
2000-11-06,265.750
2000-11-07,264.100
2000-11-08,265.000
2000-11-09,264.300
2000-11-10,265.150
2000-11-13,264.300
2000-11-14,264.500
2000-11-15,265.250
2000-11-16,265.400
2000-11-17,266.500
2000-11-20,265.750
2000-11-21,267.250
2000-11-22,266.450
2000-11-23,265.900
2000-11-24,266.000
2000-11-27,266.200
2000-11-28,269.750
2000-11-29,269.000
2000-11-30,267.000
2000-12-01,271.200
2000-12-04,271.150
2000-12-05,271.850
2000-12-06,270.850
2000-12-07,275.100
2000-12-08,273.300
2000-12-11,272.500
2000-12-12,271.000
2000-12-13,269.950
2000-12-14,269.700
2000-12-15,270.300
2000-12-18,270.500
2000-12-19,269.450
2000-12-20,270.200
2000-12-21,273.000
2000-12-22,273.950
2000-12-25,.
2000-12-26,.
2000-12-27,274.700
2000-12-28,274.600
2000-12-29,272.650
2001-01-01,.
2001-01-02,272.800
2001-01-03,269.000
2001-01-04,268.750
2001-01-05,268.000
2001-01-08,268.600
2001-01-09,267.750
2001-01-10,266.700
2001-01-11,264.800
2001-01-12,263.650
2001-01-15,263.350
2001-01-16,264.500
2001-01-17,263.100
2001-01-18,264.100
2001-01-19,265.750
2001-01-22,266.100
2001-01-23,267.100
2001-01-24,265.700
2001-01-25,263.600
2001-01-26,264.500
2001-01-29,263.100
2001-01-30,263.400
2001-01-31,266.200
2001-02-01,266.850
2001-02-02,268.000
2001-02-05,266.250
2001-02-06,264.550
2001-02-07,262.900
2001-02-08,263.400
2001-02-09,260.500
2001-02-12,260.900
2001-02-13,261.500
2001-02-14,260.900
2001-02-15,259.500
2001-02-16,256.700
2001-02-19,258.950
2001-02-20,258.300
2001-02-21,257.300
2001-02-22,258.000
2001-02-23,259.950
2001-02-26,262.800
2001-02-27,268.100
2001-02-28,265.000
2001-03-01,266.700
2001-03-02,263.350
2001-03-05,261.850
2001-03-06,262.600
2001-03-07,261.550
2001-03-08,263.600
2001-03-09,268.750
2001-03-12,270.500
2001-03-13,269.400
2001-03-14,267.450
2001-03-15,262.700
2001-03-16,260.200
2001-03-19,260.500
2001-03-20,262.600
2001-03-21,261.200
2001-03-22,262.250
2001-03-23,262.300
2001-03-26,261.300
2001-03-27,262.750
2001-03-28,261.200
2001-03-29,260.200
2001-03-30,259.050
2001-04-02,257.550
2001-04-03,257.000
2001-04-04,259.200
2001-04-05,258.200
2001-04-06,258.100
2001-04-09,260.900
2001-04-10,257.050
2001-04-11,258.450
2001-04-12,259.400
2001-04-13,.
2001-04-16,.
2001-04-17,262.150
2001-04-18,260.100
2001-04-19,261.350
2001-04-20,264.200
2001-04-23,262.900
2001-04-24,263.650
2001-04-25,263.950
2001-04-26,262.200
2001-04-27,264.450
2001-04-30,263.450
2001-05-01,263.800
2001-05-02,265.000
2001-05-03,265.300
2001-05-04,265.800
2001-05-07,.
2001-05-08,265.600
2001-05-09,265.200
2001-05-10,269.400
2001-05-11,268.950
2001-05-14,267.700
2001-05-15,268.050
2001-05-16,269.100
2001-05-17,271.750
2001-05-18,272.100
2001-05-21,288.350
2001-05-22,282.750
2001-05-23,283.850
2001-05-24,283.450
2001-05-25,280.650
2001-05-28,.
2001-05-29,276.650
2001-05-30,273.650
2001-05-31,266.100
2001-06-01,265.650
2001-06-04,266.250
2001-06-05,266.150
2001-06-06,266.950
2001-06-07,266.250
2001-06-08,267.250
2001-06-11,272.750
2001-06-12,267.900
2001-06-13,271.800
2001-06-14,272.200
2001-06-15,274.350
2001-06-18,271.500
2001-06-19,273.950
2001-06-20,272.400
2001-06-21,272.650
2001-06-22,273.200
2001-06-25,273.100
2001-06-26,273.850
2001-06-27,276.000
2001-06-28,271.450
2001-06-29,269.900
2001-07-02,269.100
2001-07-03,268.600
2001-07-04,267.600
2001-07-05,267.550
2001-07-06,265.200
2001-07-09,266.850
2001-07-10,267.200
2001-07-11,266.550
2001-07-12,267.550
2001-07-13,266.400
2001-07-16,268.000
2001-07-17,266.850
2001-07-18,268.100
2001-07-19,271.550
2001-07-20,270.100
2001-07-23,269.250
2001-07-24,268.900
2001-07-25,269.250
2001-07-26,267.150
2001-07-27,265.850
2001-07-30,266.400
2001-07-31,265.550
2001-08-01,267.700
2001-08-02,268.300
2001-08-03,267.500
2001-08-06,267.900
2001-08-07,266.700
2001-08-08,266.500
2001-08-09,269.000
2001-08-10,273.350
2001-08-13,275.100
2001-08-14,274.100
2001-08-15,276.350
2001-08-16,275.100
2001-08-17,276.250
2001-08-20,277.750
2001-08-21,276.950
2001-08-22,277.250
2001-08-23,274.300
2001-08-24,275.150
2001-08-27,.
2001-08-28,271.600
2001-08-29,272.850
2001-08-30,273.400
2001-08-31,275.350
2001-09-03,273.550
2001-09-04,272.250
2001-09-05,271.700
2001-09-06,272.000
2001-09-07,273.150
2001-09-10,273.200
2001-09-11,271.400
2001-09-12,279.500
2001-09-13,278.500
2001-09-14,284.500
2001-09-17,291.000
2001-09-18,288.650
2001-09-19,289.350
2001-09-20,288.200
2001-09-21,291.300
2001-09-24,289.650
2001-09-25,287.950
2001-09-26,291.600
2001-09-27,291.250
2001-09-28,290.850
2001-10-01,291.650
2001-10-02,291.100
2001-10-03,289.950
2001-10-04,289.150
2001-10-05,291.600
2001-10-08,292.850
2001-10-09,291.100
2001-10-10,286.500
2001-10-11,282.350
2001-10-12,282.850
2001-10-15,283.750
2001-10-16,281.250
2001-10-17,281.650
2001-10-18,282.200
2001-10-19,278.700
2001-10-22,277.550
2001-10-23,274.900
2001-10-24,276.150
2001-10-25,275.350
2001-10-26,276.950
2001-10-29,277.700
2001-10-30,280.200
2001-10-31,280.950
2001-11-01,279.450
2001-11-02,280.200
2001-11-05,278.950
2001-11-06,278.900
2001-11-07,280.500
2001-11-08,280.200
2001-11-09,277.300
2001-11-12,277.700
2001-11-13,277.650
2001-11-14,277.550
2001-11-15,276.050
2001-11-16,275.500
2001-11-19,274.200
2001-11-20,273.750
2001-11-21,273.150
2001-11-22,273.200
2001-11-23,272.550
2001-11-26,273.050
2001-11-27,273.650
2001-11-28,274.600
2001-11-29,274.650
2001-11-30,274.700
2001-12-03,275.250
2001-12-04,276.550
2001-12-05,275.750
2001-12-06,274.100
2001-12-07,274.750
2001-12-10,273.350
2001-12-11,272.600
2001-12-12,273.250
2001-12-13,273.950
2001-12-14,274.850
2001-12-17,277.800
2001-12-18,278.850
2001-12-19,278.900
2001-12-20,276.250
2001-12-21,277.800
2001-12-24,277.700
2001-12-25,.
2001-12-26,.
2001-12-27,278.050
2001-12-28,277.600
2001-12-31,276.500
2002-01-01,.
2002-01-02,278.100
2002-01-03,278.650
2002-01-04,278.950
2002-01-07,279.650
2002-01-08,278.200
2002-01-09,279.350
2002-01-10,287.000
2002-01-11,286.600
2002-01-14,286.400
2002-01-15,283.850
2002-01-16,287.950
2002-01-17,285.150
2002-01-18,283.700
2002-01-21,282.650
2002-01-22,283.350
2002-01-23,281.600
2002-01-24,279.050
2002-01-25,279.000
2002-01-28,279.350
2002-01-29,277.800
2002-01-30,280.950
2002-01-31,281.500
2002-02-01,282.000
2002-02-04,285.800
2002-02-05,290.350
2002-02-06,297.450
2002-02-07,300.350
2002-02-08,305.100
2002-02-11,301.500
2002-02-12,298.900
2002-02-13,298.600
2002-02-14,298.100
2002-02-15,300.400
2002-02-18,298.500
2002-02-19,297.250
2002-02-20,294.200
2002-02-21,291.150
2002-02-22,293.350
2002-02-25,291.800
2002-02-26,293.000
2002-02-27,299.300
2002-02-28,296.550
2002-03-01,295.800
2002-03-04,299.550
2002-03-05,296.600
2002-03-06,294.350
2002-03-07,292.150
2002-03-08,289.300
2002-03-11,291.750
2002-03-12,292.000
2002-03-13,293.750
2002-03-14,292.700
2002-03-15,291.000
2002-03-18,291.000
2002-03-19,293.200
2002-03-20,292.700
2002-03-21,292.250
2002-03-22,293.650
2002-03-25,297.700
2002-03-26,297.100
2002-03-27,297.500
2002-03-28,303.000
2002-03-29,.
2002-04-01,.
2002-04-02,302.650
2002-04-03,304.950
2002-04-04,301.500
2002-04-05,300.800
2002-04-08,298.500
2002-04-09,299.300
2002-04-10,297.800
2002-04-11,301.800
2002-04-12,301.650
2002-04-15,301.800
2002-04-16,299.350
2002-04-17,300.150
2002-04-18,302.300
2002-04-19,303.700
2002-04-22,303.350
2002-04-23,303.250
2002-04-24,304.500
2002-04-25,305.100
2002-04-26,307.650
2002-04-29,310.650
2002-04-30,309.350
2002-05-01,308.300
2002-05-02,308.100
2002-05-03,308.850
2002-05-06,.
2002-05-07,312.650
2002-05-08,310.900
2002-05-09,308.750
2002-05-10,310.650
2002-05-13,311.600
2002-05-14,309.950
2002-05-15,307.500
2002-05-16,309.050
2002-05-17,310.650
2002-05-20,311.800
2002-05-21,315.100
2002-05-22,318.250
2002-05-23,316.250
2002-05-24,320.900
2002-05-27,320.800
2002-05-28,321.400
